Date,Close
1/2/2019 16:00:00,50.09
1/3/2019 16:00:00,45.61
1/4/2019 16:00:00,47.79
1/7/2019 16:00:00,47.85
1/8/2019 16:00:00,47.47
1/9/2019 16:00:00,48.47
1/10/2019 16:00:00,48.73
1/11/2019 16:00:00,48.56
1/14/2019 16:00:00,47.75
1/15/2019 16:00:00,47.83
1/16/2019 16:00:00,47.5
1/17/2019 16:00:00,48.22
1/18/2019 16:00:00,48.11
1/22/2019 16:00:00,47.1
1/23/2019 16:00:00,47.3
1/24/2019 16:00:00,47.52
1/25/2019 16:00:00,47.69
1/28/2019 16:00:00,48.01
1/29/2019 16:00:00,48.22
1/30/2019 16:00:00,50.27
1/31/2019 16:00:00,49.43
2/1/2019 16:00:00,49.92
2/4/2019 16:00:00,50.34
2/5/2019 16:00:00,50.54
2/6/2019 16:00:00,50.52
2/7/2019 16:00:00,50.41
2/8/2019 16:00:00,50.47
2/11/2019 16:00:00,50.61
2/12/2019 16:00:00,49.89
2/13/2019 16:00:00,50.41
2/14/2019 16:00:00,50.48
2/15/2019 16:00:00,51.08
2/19/2019 16:00:00,51.82
2/20/2019 16:00:00,51.24
2/21/2019 16:00:00,51.48
2/22/2019 16:00:00,51.52
2/25/2019 16:00:00,51.41
2/26/2019 16:00:00,51.12
2/27/2019 16:00:00,50.43
2/28/2019 16:00:00,49.58
3/1/2019 16:00:00,48.96
3/4/2019 16:00:00,48.79
3/5/2019 16:00:00,49.72
3/6/2019 16:00:00,49.71
3/7/2019 16:00:00,49.59
3/8/2019 16:00:00,49.59
3/11/2019 16:00:00,51.12
3/12/2019 16:00:00,50.67
3/13/2019 16:00:00,51.02
3/14/2019 16:00:00,50.94
3/15/2019 16:00:00,51.19
3/18/2019 16:00:00,50.74
3/19/2019 16:00:00,50.96
3/20/2019 16:00:00,49.87
3/21/2019 16:00:00,50.3
3/22/2019 16:00:00,49.76
3/25/2019 16:00:00,49.03
3/26/2019 16:00:00,49.09
3/27/2019 16:00:00,49.97
3/28/2019 16:00:00,50.32
3/29/2019 16:00:00,51.65
4/1/2019 16:00:00,52.18
4/2/2019 16:00:00,55.33
4/3/2019 16:00:00,57
4/4/2019 16:00:00,57.22
4/5/2019 16:00:00,57.73
4/8/2019 16:00:00,57.71
4/9/2019 16:00:00,56.95
4/10/2019 16:00:00,57.86
4/11/2019 16:00:00,58.39
4/12/2019 16:00:00,58.05
4/15/2019 16:00:00,57.45
4/16/2019 16:00:00,58.11
4/17/2019 16:00:00,58.43
4/18/2019 16:00:00,58.17
4/22/2019 16:00:00,57.75
4/23/2019 16:00:00,58.24
4/24/2019 16:00:00,57.85
4/25/2019 16:00:00,56.71
4/26/2019 16:00:00,57.11
4/29/2019 16:00:00,57.73
4/30/2019 16:00:00,58.29
5/1/2019 16:00:00,57.18
5/2/2019 16:00:00,57.66
5/3/2019 16:00:00,57.8
5/6/2019 16:00:00,57.73
5/7/2019 16:00:00,57.17
5/8/2019 16:00:00,56.45
5/9/2019 16:00:00,56.59
5/10/2019 16:00:00,56.62
5/13/2019 16:00:00,54.8
5/14/2019 16:00:00,55.25
5/15/2019 16:00:00,55.05
5/16/2019 16:00:00,55.38
5/17/2019 16:00:00,54.89
5/20/2019 16:00:00,54.28
5/21/2019 16:00:00,54.83
5/22/2019 16:00:00,54.06
5/23/2019 16:00:00,54
5/24/2019 16:00:00,54.12
5/28/2019 16:00:00,53.88
5/29/2019 16:00:00,53.21
5/30/2019 16:00:00,53.03
5/31/2019 16:00:00,51.5
6/3/2019 16:00:00,52.1
6/4/2019 16:00:00,54.31
6/5/2019 16:00:00,54.94
6/6/2019 16:00:00,54.69
6/7/2019 16:00:00,55.07
6/10/2019 16:00:00,54.73
6/11/2019 16:00:00,54.88
6/12/2019 16:00:00,55.45
6/13/2019 16:00:00,56.52
6/14/2019 16:00:00,55.99
6/17/2019 16:00:00,55.67
6/18/2019 16:00:00,56.03
6/19/2019 16:00:00,56.36
6/20/2019 16:00:00,55.97
6/21/2019 16:00:00,55.99
6/24/2019 16:00:00,56.07
6/25/2019 16:00:00,55.92
6/26/2019 16:00:00,56.38
6/27/2019 16:00:00,56.82
6/28/2019 16:00:00,56.75
7/1/2019 16:00:00,57.79
7/2/2019 16:00:00,58.54
7/3/2019 13:00:00,59.15
7/5/2019 16:00:00,58.7
7/8/2019 16:00:00,59.37
7/9/2019 16:00:00,58.96
7/10/2019 16:00:00,59.47
7/11/2019 16:00:00,60.16
7/12/2019 16:00:00,61.65
7/15/2019 16:00:00,61.7
7/16/2019 16:00:00,63.16
7/17/2019 16:00:00,62.25
7/18/2019 16:00:00,62.66
7/19/2019 16:00:00,60.91
7/22/2019 16:00:00,61.29
7/23/2019 16:00:00,63.09
7/24/2019 16:00:00,63.16
7/25/2019 16:00:00,62.23
7/26/2019 16:00:00,62.16
7/29/2019 16:00:00,62.46
7/30/2019 16:00:00,62.63
7/31/2019 16:00:00,61.04
8/1/2019 16:00:00,60.32
8/2/2019 16:00:00,60.13
8/5/2019 16:00:00,57.82
8/6/2019 16:00:00,58.79
8/7/2019 16:00:00,59.24
8/8/2019 16:00:00,60.03
8/9/2019 16:00:00,59.53
8/12/2019 16:00:00,58.66
8/13/2019 16:00:00,58.84
8/14/2019 16:00:00,57.23
8/15/2019 16:00:00,57.11
8/16/2019 16:00:00,58.04
8/19/2019 16:00:00,58.19
8/20/2019 16:00:00,57.68
8/21/2019 16:00:00,58.01
8/22/2019 16:00:00,57.96
8/23/2019 16:00:00,56.2
8/26/2019 16:00:00,56.28
8/27/2019 16:00:00,56.14
8/28/2019 16:00:00,56.68
8/29/2019 16:00:00,57.88
8/30/2019 16:00:00,57.86
9/3/2019 16:00:00,57.29
9/4/2019 16:00:00,57.23
9/5/2019 16:00:00,58.19
9/6/2019 16:00:00,57.98
9/9/2019 16:00:00,58.11
9/10/2019 16:00:00,58.64
9/11/2019 16:00:00,58.78
9/12/2019 16:00:00,59.44
9/13/2019 16:00:00,60.01
9/16/2019 16:00:00,59.07
9/17/2019 16:00:00,59.37
9/18/2019 16:00:00,59.31
9/19/2019 16:00:00,58.69
9/20/2019 16:00:00,58.63
9/23/2019 16:00:00,58.02
9/24/2019 16:00:00,58
9/25/2019 16:00:00,58.31
9/26/2019 16:00:00,58.78
9/27/2019 16:00:00,58.28
9/30/2019 16:00:00,57.6
10/1/2019 16:00:00,57.01
10/2/2019 16:00:00,54.35
10/3/2019 16:00:00,52.83
10/4/2019 16:00:00,53.81
10/7/2019 16:00:00,53.36
10/8/2019 16:00:00,53.2
10/9/2019 16:00:00,53.92
10/10/2019 16:00:00,53.1
10/11/2019 16:00:00,52.95
10/14/2019 16:00:00,52.99
10/15/2019 16:00:00,53.64
