Date,Close
1/2/2019 16:00:00,57.84
1/3/2019 16:00:00,53.96
1/4/2019 16:00:00,56.1
1/7/2019 16:00:00,57.67
1/8/2019 16:00:00,57.06
1/9/2019 16:00:00,59.45
1/10/2019 16:00:00,60.75
1/11/2019 16:00:00,60.11
1/14/2019 16:00:00,58.83
1/15/2019 16:00:00,58.56
1/16/2019 16:00:00,60.76
1/17/2019 16:00:00,60.31
1/18/2019 16:00:00,59.36
1/22/2019 16:00:00,58.06
1/23/2019 16:00:00,57.42
1/24/2019 16:00:00,57.46
1/25/2019 16:00:00,57.96
1/28/2019 16:00:00,58.49
1/29/2019 16:00:00,57.64
1/30/2019 16:00:00,59.43
1/31/2019 16:00:00,58.82
2/1/2019 16:00:00,61.13
2/4/2019 16:00:00,62.78
2/5/2019 16:00:00,62.95
2/6/2019 16:00:00,60.9
2/7/2019 16:00:00,62.71
2/8/2019 16:00:00,61.44
2/11/2019 16:00:00,63.06
2/12/2019 16:00:00,61.65
2/13/2019 16:00:00,60.93
2/14/2019 16:00:00,61.42
2/15/2019 16:00:00,61.67
2/19/2019 16:00:00,62.34
2/20/2019 16:00:00,58.01
2/21/2019 16:00:00,59.58
2/22/2019 16:00:00,60.12
2/25/2019 16:00:00,60.59
2/26/2019 16:00:00,61.01
2/27/2019 16:00:00,58.57
2/28/2019 16:00:00,56.25
3/1/2019 16:00:00,56.61
3/4/2019 16:00:00,57.06
3/5/2019 16:00:00,56.21
3/6/2019 16:00:00,53.3
3/7/2019 16:00:00,52.79
3/8/2019 16:00:00,51.68
3/11/2019 16:00:00,53.07
3/12/2019 16:00:00,52.81
3/13/2019 16:00:00,54.77
3/14/2019 16:00:00,55.15
3/15/2019 16:00:00,54.2
3/18/2019 16:00:00,52.85
3/19/2019 16:00:00,53.7
3/20/2019 16:00:00,52.6
3/21/2019 16:00:00,53.99
3/22/2019 16:00:00,53.05
3/25/2019 16:00:00,51.55
3/26/2019 16:00:00,52.45
3/27/2019 16:00:00,53.21
3/28/2019 16:00:00,51.75
3/29/2019 16:00:00,52.86
4/1/2019 16:00:00,53.23
4/2/2019 16:00:00,53.82
4/3/2019 16:00:00,54.28
4/4/2019 16:00:00,54.3
4/5/2019 16:00:00,54.44
4/8/2019 16:00:00,54.7
4/9/2019 16:00:00,54.81
4/10/2019 16:00:00,56.84
4/11/2019 16:00:00,56.92
4/12/2019 16:00:00,56.22
4/15/2019 16:00:00,55.17
4/16/2019 16:00:00,54.98
4/17/2019 16:00:00,55.56
4/18/2019 16:00:00,56.19
4/22/2019 16:00:00,55.65
4/23/2019 16:00:00,57.49
4/24/2019 16:00:00,58.3
4/25/2019 16:00:00,52.88
4/26/2019 16:00:00,52.7
4/29/2019 16:00:00,53.79
4/30/2019 16:00:00,54.38
5/1/2019 16:00:00,52.56
5/2/2019 16:00:00,52.52
5/3/2019 16:00:00,52.5
5/6/2019 16:00:00,51.56
5/7/2019 16:00:00,50.77
5/8/2019 16:00:00,49.9
5/9/2019 16:00:00,49.42
5/10/2019 16:00:00,49.66
5/13/2019 16:00:00,47.81
5/14/2019 16:00:00,48.21
5/15/2019 16:00:00,48.47
5/16/2019 16:00:00,48.53
5/17/2019 16:00:00,47.64
5/20/2019 16:00:00,47.03
5/21/2019 16:00:00,48.77
5/22/2019 16:00:00,47.94
5/23/2019 16:00:00,48.3
5/24/2019 16:00:00,47.2
5/28/2019 16:00:00,46.9
5/29/2019 16:00:00,46.76
5/30/2019 16:00:00,47.02
5/31/2019 16:00:00,46.08
6/3/2019 16:00:00,47.22
6/4/2019 16:00:00,49.33
6/5/2019 16:00:00,50.43
6/6/2019 16:00:00,49.94
6/7/2019 16:00:00,49.12
6/10/2019 16:00:00,49.06
6/11/2019 16:00:00,49.67
6/12/2019 16:00:00,49.68
6/13/2019 16:00:00,51.4
6/14/2019 16:00:00,50.32
6/17/2019 16:00:00,49.99
6/18/2019 16:00:00,50.56
6/19/2019 16:00:00,49.63
6/20/2019 16:00:00,48.68
6/21/2019 16:00:00,47.74
6/24/2019 16:00:00,47.58
6/25/2019 16:00:00,46.96
6/26/2019 16:00:00,45.95
6/27/2019 16:00:00,46.95
6/28/2019 16:00:00,47.73
7/1/2019 16:00:00,48.94
7/2/2019 16:00:00,48.9
